23:37:02.023: Dealer 1: Auto 1 (Body: 1, Motor: 4, Accessory: 2)
00:30:06.205: Dealer 2: Auto 318 (Body: 955, Motor: 954, Accessory: 948)
00:30:06.205: Dealer 1: Auto 320 (Body: 961, Motor: 962, Accessory: 956)
00:30:07.211: Dealer 1: Auto 322 (Body: 968, Motor: 969, Accessory: 958)
00:30:07.211: Dealer 2: Auto 294 (Body: 883, Motor: 882, Accessory: 876)
00:30:07.213: Dealer 1: Auto 322 (Body: 968, Motor: 969, Accessory: 958)
00:30:07.213: Dealer 2: Auto 294 (Body: 883, Motor: 882, Accessory: 876)
00:30:07.211: Dealer 3: Auto 321 (Body: 965, Motor: 966, Accessory: 957)
00:30:07.216: Dealer 3: Auto 321 (Body: 965, Motor: 966, Accessory: 957)
00:30:08.217: Dealer 1: Auto 324 (Body: 975, Motor: 973, Accessory: 964)
00:30:08.218: Dealer 1: Auto 324 (Body: 975, Motor: 973, Accessory: 964)
00:30:08.219: Dealer 2: Auto 316 (Body: 950, Motor: 951, Accessory: 940)
00:30:08.220: Dealer 2: Auto 316 (Body: 950, Motor: 951, Accessory: 940)
00:30:08.219: Dealer 3: Auto 326 (Body: 980, Motor: 979, Accessory: 972)
00:30:08.220: Dealer 3: Auto 326 (Body: 980, Motor: 979, Accessory: 972)
01:29:11.183: Dealer 1: Auto 1 (Body: 1, Motor: 5, Accessory: 2)
01:29:11.263: Dealer 1: Auto 1 (Body: 1, Motor: 5, Accessory: 2)
01:29:12.184: Dealer 2: Auto 2 (Body: 9, Motor: 7, Accessory: 3)
01:29:12.188: Dealer 2: Auto 2 (Body: 9, Motor: 7, Accessory: 3)
01:29:13.189: Dealer 3: Auto 3 (Body: 12, Motor: 13, Accessory: 4)
01:29:13.194: Dealer 3: Auto 3 (Body: 12, Motor: 13, Accessory: 4)
01:29:14.199: Dealer 1: Auto 4 (Body: 17, Motor: 18, Accessory: 6)
01:29:14.209: Dealer 1: Auto 4 (Body: 17, Motor: 18, Accessory: 6)
01:29:15.203: Dealer 2: Auto 5 (Body: 21, Motor: 25, Accessory: 8)
01:29:15.209: Dealer 2: Auto 5 (Body: 21, Motor: 25, Accessory: 8)
01:29:16.204: Dealer 3: Auto 6 (Body: 28, Motor: 30, Accessory: 10)
01:29:16.222: Dealer 3: Auto 6 (Body: 28, Motor: 30, Accessory: 10)
01:29:17.209: Dealer 1: Auto 7 (Body: 33, Motor: 35, Accessory: 11)
01:29:17.212: Dealer 1: Auto 7 (Body: 33, Motor: 35, Accessory: 11)
01:29:18.210: Dealer 2: Auto 8 (Body: 36, Motor: 48, Accessory: 14)
01:29:18.217: Dealer 2: Auto 8 (Body: 36, Motor: 48, Accessory: 14)
01:29:21.215: Dealer 3: Auto 9 (Body: 37, Motor: 115, Accessory: 15)
01:29:21.223: Dealer 3: Auto 9 (Body: 37, Motor: 115, Accessory: 15)
01:29:24.218: Dealer 1: Auto 10 (Body: 38, Motor: 137, Accessory: 16)
01:29:24.223: Dealer 1: Auto 10 (Body: 38, Motor: 137, Accessory: 16)
01:29:27.222: Dealer 2: Auto 11 (Body: 39, Motor: 140, Accessory: 19)
01:29:27.228: Dealer 2: Auto 11 (Body: 39, Motor: 140, Accessory: 19)
01:29:30.227: Dealer 3: Auto 12 (Body: 40, Motor: 143, Accessory: 20)
01:29:30.241: Dealer 3: Auto 12 (Body: 40, Motor: 143, Accessory: 20)
01:29:33.232: Dealer 1: Auto 13 (Body: 41, Motor: 146, Accessory: 22)
01:29:33.262: Dealer 1: Auto 13 (Body: 41, Motor: 146, Accessory: 22)
01:29:36.239: Dealer 2: Auto 14 (Body: 42, Motor: 149, Accessory: 23)
01:29:36.256: Dealer 2: Auto 14 (Body: 42, Motor: 149, Accessory: 23)
01:29:39.242: Dealer 3: Auto 15 (Body: 43, Motor: 152, Accessory: 24)
01:29:39.253: Dealer 3: Auto 15 (Body: 43, Motor: 152, Accessory: 24)
01:29:42.248: Dealer 1: Auto 16 (Body: 44, Motor: 155, Accessory: 26)
01:29:42.271: Dealer 1: Auto 16 (Body: 44, Motor: 155, Accessory: 26)
01:29:45.254: Dealer 2: Auto 17 (Body: 49, Motor: 158, Accessory: 27)
01:29:45.284: Dealer 2: Auto 17 (Body: 49, Motor: 158, Accessory: 27)
01:29:48.514: Dealer 3: Auto 18 (Body: 50, Motor: 161, Accessory: 29)
01:29:48.586: Dealer 3: Auto 18 (Body: 50, Motor: 161, Accessory: 29)
01:29:51.451: Dealer 1: Auto 19 (Body: 51, Motor: 164, Accessory: 31)
01:29:51.492: Dealer 1: Auto 19 (Body: 51, Motor: 164, Accessory: 31)
01:29:54.456: Dealer 2: Auto 20 (Body: 55, Motor: 167, Accessory: 32)
01:29:54.471: Dealer 2: Auto 20 (Body: 55, Motor: 167, Accessory: 32)
01:29:57.459: Dealer 3: Auto 21 (Body: 52, Motor: 170, Accessory: 34)
01:29:57.491: Dealer 3: Auto 21 (Body: 52, Motor: 170, Accessory: 34)
01:30:00.466: Dealer 1: Auto 22 (Body: 53, Motor: 173, Accessory: 45)
01:30:00.493: Dealer 1: Auto 22 (Body: 53, Motor: 173, Accessory: 45)
01:30:03.468: Dealer 2: Auto 23 (Body: 54, Motor: 176, Accessory: 46)
01:30:03.484: Dealer 2: Auto 23 (Body: 54, Motor: 176, Accessory: 46)
01:30:06.473: Dealer 3: Auto 24 (Body: 56, Motor: 179, Accessory: 47)
01:30:06.480: Dealer 3: Auto 24 (Body: 56, Motor: 179, Accessory: 47)
01:30:09.483: Dealer 1: Auto 25 (Body: 57, Motor: 182, Accessory: 59)
01:30:09.519: Dealer 1: Auto 25 (Body: 57, Motor: 182, Accessory: 59)
01:30:12.486: Dealer 2: Auto 26 (Body: 58, Motor: 185, Accessory: 60)
01:30:12.520: Dealer 2: Auto 26 (Body: 58, Motor: 185, Accessory: 60)
01:30:15.489: Dealer 3: Auto 27 (Body: 62, Motor: 188, Accessory: 61)
01:30:15.501: Dealer 3: Auto 27 (Body: 62, Motor: 188, Accessory: 61)
01:30:18.495: Dealer 1: Auto 28 (Body: 66, Motor: 191, Accessory: 63)
01:30:18.504: Dealer 1: Auto 28 (Body: 66, Motor: 191, Accessory: 63)
01:30:21.501: Dealer 2: Auto 29 (Body: 70, Motor: 194, Accessory: 64)
01:30:21.523: Dealer 2: Auto 29 (Body: 70, Motor: 194, Accessory: 64)
01:30:24.507: Dealer 3: Auto 30 (Body: 74, Motor: 197, Accessory: 65)
01:30:24.524: Dealer 3: Auto 30 (Body: 74, Motor: 197, Accessory: 65)
01:30:27.513: Dealer 1: Auto 31 (Body: 78, Motor: 200, Accessory: 67)
01:30:27.530: Dealer 1: Auto 31 (Body: 78, Motor: 200, Accessory: 67)
01:30:30.516: Dealer 2: Auto 32 (Body: 82, Motor: 203, Accessory: 68)
01:30:30.527: Dealer 2: Auto 32 (Body: 82, Motor: 203, Accessory: 68)
01:30:33.523: Dealer 3: Auto 33 (Body: 86, Motor: 206, Accessory: 69)
01:30:33.547: Dealer 3: Auto 33 (Body: 86, Motor: 206, Accessory: 69)
01:30:36.673: Dealer 1: Auto 34 (Body: 98, Motor: 209, Accessory: 71)
01:30:37.136: Dealer 1: Auto 34 (Body: 98, Motor: 209, Accessory: 71)
01:30:39.554: Dealer 2: Auto 35 (Body: 90, Motor: 212, Accessory: 72)
01:30:39.580: Dealer 2: Auto 35 (Body: 90, Motor: 212, Accessory: 72)
01:30:42.569: Dealer 3: Auto 36 (Body: 94, Motor: 215, Accessory: 73)
01:30:42.603: Dealer 3: Auto 36 (Body: 94, Motor: 215, Accessory: 73)
01:30:45.571: Dealer 1: Auto 37 (Body: 102, Motor: 218, Accessory: 75)
01:30:45.585: Dealer 1: Auto 37 (Body: 102, Motor: 218, Accessory: 75)
01:30:48.625: Dealer 2: Auto 38 (Body: 106, Motor: 221, Accessory: 76)
01:30:48.652: Dealer 2: Auto 38 (Body: 106, Motor: 221, Accessory: 76)
01:30:51.627: Dealer 3: Auto 39 (Body: 108, Motor: 224, Accessory: 77)
01:30:51.643: Dealer 3: Auto 39 (Body: 108, Motor: 224, Accessory: 77)
01:30:54.633: Dealer 1: Auto 40 (Body: 109, Motor: 227, Accessory: 79)
01:30:54.646: Dealer 1: Auto 40 (Body: 109, Motor: 227, Accessory: 79)
01:30:57.637: Dealer 2: Auto 41 (Body: 110, Motor: 230, Accessory: 80)
01:30:58.040: Dealer 2: Auto 41 (Body: 110, Motor: 230, Accessory: 80)
01:31:00.641: Dealer 3: Auto 42 (Body: 111, Motor: 233, Accessory: 81)
01:31:00.668: Dealer 3: Auto 42 (Body: 111, Motor: 233, Accessory: 81)
01:31:03.642: Dealer 1: Auto 43 (Body: 112, Motor: 236, Accessory: 83)
01:31:03.654: Dealer 1: Auto 43 (Body: 112, Motor: 236, Accessory: 83)
01:31:06.649: Dealer 2: Auto 44 (Body: 113, Motor: 239, Accessory: 84)
01:31:06.666: Dealer 2: Auto 44 (Body: 113, Motor: 239, Accessory: 84)
01:31:09.651: Dealer 3: Auto 45 (Body: 114, Motor: 242, Accessory: 85)
01:31:09.675: Dealer 3: Auto 45 (Body: 114, Motor: 242, Accessory: 85)
01:31:12.654: Dealer 1: Auto 46 (Body: 116, Motor: 245, Accessory: 87)
01:31:12.657: Dealer 1: Auto 46 (Body: 116, Motor: 245, Accessory: 87)
01:31:15.661: Dealer 2: Auto 47 (Body: 118, Motor: 248, Accessory: 88)
01:31:16.209: Dealer 2: Auto 47 (Body: 118, Motor: 248, Accessory: 88)
01:31:18.740: Dealer 3: Auto 48 (Body: 119, Motor: 251, Accessory: 89)
01:31:18.914: Dealer 3: Auto 48 (Body: 119, Motor: 251, Accessory: 89)
01:31:21.810: Dealer 1: Auto 49 (Body: 120, Motor: 254, Accessory: 91)
01:31:22.256: Dealer 1: Auto 49 (Body: 120, Motor: 254, Accessory: 91)
01:31:24.808: Dealer 2: Auto 50 (Body: 121, Motor: 257, Accessory: 92)
01:31:24.988: Dealer 2: Auto 50 (Body: 121, Motor: 257, Accessory: 92)
01:31:27.808: Dealer 3: Auto 51 (Body: 122, Motor: 260, Accessory: 93)
01:31:27.841: Dealer 3: Auto 51 (Body: 122, Motor: 260, Accessory: 93)
01:31:30.812: Dealer 1: Auto 52 (Body: 126, Motor: 263, Accessory: 95)
01:31:30.831: Dealer 1: Auto 52 (Body: 126, Motor: 263, Accessory: 95)
01:31:33.815: Dealer 2: Auto 53 (Body: 123, Motor: 266, Accessory: 96)
01:31:33.838: Dealer 2: Auto 53 (Body: 123, Motor: 266, Accessory: 96)
01:31:36.824: Dealer 3: Auto 54 (Body: 124, Motor: 269, Accessory: 97)
01:35:48.768: Dealer 1: Auto 1 (Body: 1, Motor: 2, Accessory: 3)
01:35:48.953: Dealer 1: Auto 1 (Body: 1, Motor: 2, Accessory: 3)
01:35:49.778: Dealer 2: Auto 2 (Body: 10, Motor: 9, Accessory: 4)
01:35:49.828: Dealer 2: Auto 2 (Body: 10, Motor: 9, Accessory: 4)
01:35:50.813: Dealer 3: Auto 3 (Body: 15, Motor: 13, Accessory: 5)
01:35:50.835: Dealer 3: Auto 3 (Body: 15, Motor: 13, Accessory: 5)
01:35:51.790: Dealer 1: Auto 4 (Body: 20, Motor: 18, Accessory: 6)
01:35:51.793: Dealer 1: Auto 4 (Body: 20, Motor: 18, Accessory: 6)
01:35:52.796: Dealer 2: Auto 5 (Body: 25, Motor: 23, Accessory: 7)
01:35:52.802: Dealer 2: Auto 5 (Body: 25, Motor: 23, Accessory: 7)
01:35:53.801: Dealer 3: Auto 6 (Body: 30, Motor: 28, Accessory: 8)
01:35:53.829: Dealer 3: Auto 6 (Body: 30, Motor: 28, Accessory: 8)
01:35:54.807: Dealer 1: Auto 7 (Body: 35, Motor: 32, Accessory: 11)
01:35:54.813: Dealer 1: Auto 7 (Body: 35, Motor: 32, Accessory: 11)
01:35:55.812: Dealer 2: Auto 8 (Body: 40, Motor: 37, Accessory: 12)
01:35:55.815: Dealer 2: Auto 8 (Body: 40, Motor: 37, Accessory: 12)
01:35:56.814: Dealer 3: Auto 9 (Body: 45, Motor: 41, Accessory: 14)
01:35:56.819: Dealer 3: Auto 9 (Body: 45, Motor: 41, Accessory: 14)
01:35:57.815: Dealer 1: Auto 10 (Body: 50, Motor: 46, Accessory: 16)
01:35:57.824: Dealer 1: Auto 10 (Body: 50, Motor: 46, Accessory: 16)
01:35:58.819: Dealer 2: Auto 11 (Body: 55, Motor: 52, Accessory: 17)
01:35:58.822: Dealer 2: Auto 11 (Body: 55, Motor: 52, Accessory: 17)
01:35:59.824: Dealer 3: Auto 12 (Body: 60, Motor: 56, Accessory: 19)
01:35:59.835: Dealer 3: Auto 12 (Body: 60, Motor: 56, Accessory: 19)
01:36:00.826: Dealer 1: Auto 13 (Body: 65, Motor: 62, Accessory: 22)
01:36:00.845: Dealer 1: Auto 13 (Body: 65, Motor: 62, Accessory: 22)
01:36:01.831: Dealer 2: Auto 14 (Body: 70, Motor: 67, Accessory: 21)
01:36:01.847: Dealer 2: Auto 14 (Body: 70, Motor: 67, Accessory: 21)
01:36:02.835: Dealer 3: Auto 15 (Body: 75, Motor: 73, Accessory: 24)
01:36:02.846: Dealer 3: Auto 15 (Body: 75, Motor: 73, Accessory: 24)
01:36:03.836: Dealer 1: Auto 16 (Body: 80, Motor: 78, Accessory: 26)
01:36:03.842: Dealer 1: Auto 16 (Body: 80, Motor: 78, Accessory: 26)
01:36:04.841: Dealer 2: Auto 17 (Body: 85, Motor: 83, Accessory: 27)
01:36:04.858: Dealer 2: Auto 17 (Body: 85, Motor: 83, Accessory: 27)
01:36:05.846: Dealer 3: Auto 18 (Body: 90, Motor: 89, Accessory: 29)
01:36:05.858: Dealer 3: Auto 18 (Body: 90, Motor: 89, Accessory: 29)
01:36:06.850: Dealer 1: Auto 19 (Body: 95, Motor: 94, Accessory: 31)
01:36:06.872: Dealer 1: Auto 19 (Body: 95, Motor: 94, Accessory: 31)
01:36:07.855: Dealer 2: Auto 20 (Body: 100, Motor: 98, Accessory: 33)
01:36:07.869: Dealer 2: Auto 20 (Body: 100, Motor: 98, Accessory: 33)
01:36:08.861: Dealer 3: Auto 21 (Body: 105, Motor: 104, Accessory: 34)
01:36:08.872: Dealer 3: Auto 21 (Body: 105, Motor: 104, Accessory: 34)
01:36:09.864: Dealer 1: Auto 22 (Body: 110, Motor: 109, Accessory: 36)
01:36:09.871: Dealer 1: Auto 22 (Body: 110, Motor: 109, Accessory: 36)
01:36:10.864: Dealer 2: Auto 23 (Body: 115, Motor: 114, Accessory: 38)
01:36:10.869: Dealer 2: Auto 23 (Body: 115, Motor: 114, Accessory: 38)
01:36:11.869: Dealer 3: Auto 24 (Body: 120, Motor: 119, Accessory: 39)
01:36:11.878: Dealer 3: Auto 24 (Body: 120, Motor: 119, Accessory: 39)
01:36:12.874: Dealer 1: Auto 25 (Body: 125, Motor: 124, Accessory: 42)
01:36:12.898: Dealer 1: Auto 25 (Body: 125, Motor: 124, Accessory: 42)
01:36:13.875: Dealer 2: Auto 26 (Body: 130, Motor: 128, Accessory: 43)
01:36:13.877: Dealer 2: Auto 26 (Body: 130, Motor: 128, Accessory: 43)
01:36:14.881: Dealer 3: Auto 27 (Body: 133, Motor: 131, Accessory: 44)
01:36:14.901: Dealer 3: Auto 27 (Body: 133, Motor: 131, Accessory: 44)
01:36:15.886: Dealer 1: Auto 28 (Body: 135, Motor: 134, Accessory: 47)
01:36:15.893: Dealer 1: Auto 28 (Body: 135, Motor: 134, Accessory: 47)
01:36:16.890: Dealer 2: Auto 29 (Body: 139, Motor: 137, Accessory: 48)
01:36:16.903: Dealer 2: Auto 29 (Body: 139, Motor: 137, Accessory: 48)
01:36:17.891: Dealer 3: Auto 30 (Body: 141, Motor: 140, Accessory: 49)
01:36:17.896: Dealer 3: Auto 30 (Body: 141, Motor: 140, Accessory: 49)
01:36:18.894: Dealer 1: Auto 31 (Body: 144, Motor: 143, Accessory: 51)
01:36:18.896: Dealer 1: Auto 31 (Body: 144, Motor: 143, Accessory: 51)
01:36:19.900: Dealer 2: Auto 32 (Body: 147, Motor: 146, Accessory: 53)
01:36:19.903: Dealer 2: Auto 32 (Body: 147, Motor: 146, Accessory: 53)
01:36:20.903: Dealer 3: Auto 33 (Body: 150, Motor: 149, Accessory: 54)
01:36:20.907: Dealer 3: Auto 33 (Body: 150, Motor: 149, Accessory: 54)
01:36:21.907: Dealer 1: Auto 34 (Body: 153, Motor: 152, Accessory: 57)
01:36:21.908: Dealer 1: Auto 34 (Body: 153, Motor: 152, Accessory: 57)
01:36:22.896: Dealer 2: Auto 35 (Body: 155, Motor: 162, Accessory: 58)
01:36:22.911: Dealer 2: Auto 35 (Body: 155, Motor: 162, Accessory: 58)
01:36:23.901: Dealer 3: Auto 36 (Body: 156, Motor: 173, Accessory: 59)
01:36:23.920: Dealer 3: Auto 36 (Body: 156, Motor: 173, Accessory: 59)
01:36:24.002: Dealer 1: Auto 37 (Body: 157, Motor: 176, Accessory: 61)
01:36:24.008: Dealer 1: Auto 37 (Body: 157, Motor: 176, Accessory: 61)
01:36:24.102: Dealer 2: Auto 38 (Body: 158, Motor: 178, Accessory: 63)
01:36:24.106: Dealer 2: Auto 38 (Body: 158, Motor: 178, Accessory: 63)
01:36:24.926: Dealer 3: Auto 39 (Body: 159, Motor: 180, Accessory: 64)
01:36:24.932: Dealer 3: Auto 39 (Body: 159, Motor: 180, Accessory: 64)
01:36:25.014: Dealer 1: Auto 40 (Body: 160, Motor: 182, Accessory: 66)
01:36:25.019: Dealer 1: Auto 40 (Body: 160, Motor: 182, Accessory: 66)
01:36:25.115: Dealer 2: Auto 41 (Body: 161, Motor: 184, Accessory: 68)
01:36:25.117: Dealer 2: Auto 41 (Body: 161, Motor: 184, Accessory: 68)
01:36:25.935: Dealer 3: Auto 42 (Body: 164, Motor: 186, Accessory: 69)
01:36:25.937: Dealer 3: Auto 42 (Body: 164, Motor: 186, Accessory: 69)
01:36:26.024: Dealer 1: Auto 43 (Body: 165, Motor: 188, Accessory: 71)
01:36:26.025: Dealer 1: Auto 43 (Body: 165, Motor: 188, Accessory: 71)
01:36:26.122: Dealer 2: Auto 44 (Body: 166, Motor: 190, Accessory: 72)
01:36:26.123: Dealer 2: Auto 44 (Body: 166, Motor: 190, Accessory: 72)
01:36:26.942: Dealer 3: Auto 45 (Body: 167, Motor: 192, Accessory: 74)
01:36:26.947: Dealer 3: Auto 45 (Body: 167, Motor: 192, Accessory: 74)
01:36:27.031: Dealer 1: Auto 46 (Body: 168, Motor: 195, Accessory: 76)
01:36:27.033: Dealer 1: Auto 46 (Body: 168, Motor: 195, Accessory: 76)
01:36:27.130: Dealer 2: Auto 47 (Body: 169, Motor: 198, Accessory: 77)
01:36:27.131: Dealer 2: Auto 47 (Body: 169, Motor: 198, Accessory: 77)
01:36:27.958: Dealer 3: Auto 48 (Body: 170, Motor: 201, Accessory: 79)
01:36:27.964: Dealer 3: Auto 48 (Body: 170, Motor: 201, Accessory: 79)
01:36:28.038: Dealer 1: Auto 49 (Body: 171, Motor: 203, Accessory: 81)
01:36:28.046: Dealer 1: Auto 49 (Body: 171, Motor: 203, Accessory: 81)
01:36:28.137: Dealer 2: Auto 50 (Body: 172, Motor: 205, Accessory: 82)
01:36:28.138: Dealer 2: Auto 50 (Body: 172, Motor: 205, Accessory: 82)
01:36:28.965: Dealer 3: Auto 51 (Body: 175, Motor: 207, Accessory: 84)
01:36:28.967: Dealer 3: Auto 51 (Body: 175, Motor: 207, Accessory: 84)
01:36:29.052: Dealer 1: Auto 52 (Body: 177, Motor: 209, Accessory: 86)
01:36:29.053: Dealer 1: Auto 52 (Body: 177, Motor: 209, Accessory: 86)
01:36:29.140: Dealer 2: Auto 53 (Body: 179, Motor: 211, Accessory: 87)
01:36:29.141: Dealer 2: Auto 53 (Body: 179, Motor: 211, Accessory: 87)
01:36:29.973: Dealer 3: Auto 54 (Body: 181, Motor: 213, Accessory: 88)
01:36:29.980: Dealer 3: Auto 54 (Body: 181, Motor: 213, Accessory: 88)
01:36:30.058: Dealer 1: Auto 55 (Body: 183, Motor: 215, Accessory: 91)
01:36:30.059: Dealer 1: Auto 55 (Body: 183, Motor: 215, Accessory: 91)
01:36:30.147: Dealer 2: Auto 56 (Body: 185, Motor: 218, Accessory: 92)
01:36:30.149: Dealer 2: Auto 56 (Body: 185, Motor: 218, Accessory: 92)
01:36:30.986: Dealer 3: Auto 57 (Body: 187, Motor: 221, Accessory: 93)
01:36:30.987: Dealer 3: Auto 57 (Body: 187, Motor: 221, Accessory: 93)
01:36:31.062: Dealer 1: Auto 58 (Body: 189, Motor: 224, Accessory: 96)
01:36:31.063: Dealer 1: Auto 58 (Body: 189, Motor: 224, Accessory: 96)
01:36:31.155: Dealer 2: Auto 59 (Body: 191, Motor: 226, Accessory: 97)
01:36:31.159: Dealer 2: Auto 59 (Body: 191, Motor: 226, Accessory: 97)
01:36:31.992: Dealer 3: Auto 60 (Body: 193, Motor: 228, Accessory: 99)
01:36:31.999: Dealer 3: Auto 60 (Body: 193, Motor: 228, Accessory: 99)
01:36:32.070: Dealer 1: Auto 61 (Body: 196, Motor: 230, Accessory: 101)
01:36:32.075: Dealer 1: Auto 61 (Body: 196, Motor: 230, Accessory: 101)
01:36:32.164: Dealer 2: Auto 62 (Body: 199, Motor: 232, Accessory: 102)
01:36:32.167: Dealer 2: Auto 62 (Body: 199, Motor: 232, Accessory: 102)
01:36:33.006: Dealer 3: Auto 63 (Body: 202, Motor: 234, Accessory: 103)
01:36:33.011: Dealer 3: Auto 63 (Body: 202, Motor: 234, Accessory: 103)
01:36:33.087: Dealer 1: Auto 64 (Body: 204, Motor: 236, Accessory: 106)
01:36:33.092: Dealer 1: Auto 64 (Body: 204, Motor: 236, Accessory: 106)
01:36:33.169: Dealer 2: Auto 65 (Body: 206, Motor: 238, Accessory: 107)
01:36:33.180: Dealer 2: Auto 65 (Body: 206, Motor: 238, Accessory: 107)
01:36:34.014: Dealer 3: Auto 66 (Body: 208, Motor: 242, Accessory: 108)
01:36:34.017: Dealer 3: Auto 66 (Body: 208, Motor: 242, Accessory: 108)
01:36:34.096: Dealer 1: Auto 67 (Body: 210, Motor: 244, Accessory: 111)
01:36:34.099: Dealer 1: Auto 67 (Body: 210, Motor: 244, Accessory: 111)
01:36:34.185: Dealer 2: Auto 68 (Body: 212, Motor: 247, Accessory: 112)
01:36:34.187: Dealer 2: Auto 68 (Body: 212, Motor: 247, Accessory: 112)
01:36:35.019: Dealer 3: Auto 69 (Body: 214, Motor: 249, Accessory: 113)
01:36:35.021: Dealer 3: Auto 69 (Body: 214, Motor: 249, Accessory: 113)
01:36:35.101: Dealer 1: Auto 70 (Body: 217, Motor: 251, Accessory: 116)
01:36:35.106: Dealer 1: Auto 70 (Body: 217, Motor: 251, Accessory: 116)
01:36:35.192: Dealer 2: Auto 71 (Body: 220, Motor: 253, Accessory: 117)
01:36:35.193: Dealer 2: Auto 71 (Body: 220, Motor: 253, Accessory: 117)
01:36:36.026: Dealer 3: Auto 72 (Body: 223, Motor: 255, Accessory: 118)
01:36:36.038: Dealer 3: Auto 72 (Body: 223, Motor: 255, Accessory: 118)
01:36:36.112: Dealer 1: Auto 73 (Body: 225, Motor: 257, Accessory: 121)
01:36:36.119: Dealer 1: Auto 73 (Body: 225, Motor: 257, Accessory: 121)
01:36:36.199: Dealer 2: Auto 74 (Body: 227, Motor: 259, Accessory: 122)
01:36:36.203: Dealer 2: Auto 74 (Body: 227, Motor: 259, Accessory: 122)
01:36:37.043: Dealer 3: Auto 75 (Body: 229, Motor: 262, Accessory: 123)
01:36:37.045: Dealer 3: Auto 75 (Body: 229, Motor: 262, Accessory: 123)
01:36:37.124: Dealer 1: Auto 76 (Body: 231, Motor: 265, Accessory: 126)
01:36:37.130: Dealer 1: Auto 76 (Body: 231, Motor: 265, Accessory: 126)
01:36:37.206: Dealer 2: Auto 77 (Body: 233, Motor: 268, Accessory: 127)
01:36:37.209: Dealer 2: Auto 77 (Body: 233, Motor: 268, Accessory: 127)
01:36:38.051: Dealer 3: Auto 78 (Body: 235, Motor: 270, Accessory: 129)
01:36:38.056: Dealer 3: Auto 78 (Body: 235, Motor: 270, Accessory: 129)
01:36:38.136: Dealer 1: Auto 79 (Body: 237, Motor: 272, Accessory: 132)
01:36:38.138: Dealer 1: Auto 79 (Body: 237, Motor: 272, Accessory: 132)
01:36:38.216: Dealer 2: Auto 80 (Body: 243, Motor: 274, Accessory: 136)
01:36:38.228: Dealer 2: Auto 80 (Body: 243, Motor: 274, Accessory: 136)
01:36:39.060: Dealer 3: Auto 81 (Body: 240, Motor: 276, Accessory: 138)
01:36:39.071: Dealer 3: Auto 81 (Body: 240, Motor: 276, Accessory: 138)
01:36:39.146: Dealer 1: Auto 82 (Body: 246, Motor: 278, Accessory: 148)
01:36:39.152: Dealer 1: Auto 82 (Body: 246, Motor: 278, Accessory: 148)
01:36:39.234: Dealer 2: Auto 83 (Body: 256, Motor: 280, Accessory: 142)
01:36:39.237: Dealer 2: Auto 83 (Body: 256, Motor: 280, Accessory: 142)
01:36:40.078: Dealer 3: Auto 84 (Body: 252, Motor: 282, Accessory: 145)
01:36:40.082: Dealer 3: Auto 84 (Body: 252, Motor: 282, Accessory: 145)
01:36:40.159: Dealer 1: Auto 85 (Body: 248, Motor: 285, Accessory: 151)
01:36:40.166: Dealer 1: Auto 85 (Body: 248, Motor: 285, Accessory: 151)
01:36:40.242: Dealer 2: Auto 86 (Body: 260, Motor: 288, Accessory: 154)
01:36:40.258: Dealer 2: Auto 86 (Body: 260, Motor: 288, Accessory: 154)
01:36:41.088: Dealer 3: Auto 87 (Body: 250, Motor: 291, Accessory: 163)
01:36:41.089: Dealer 3: Auto 87 (Body: 250, Motor: 291, Accessory: 163)
01:36:41.172: Dealer 1: Auto 88 (Body: 254, Motor: 293, Accessory: 174)
01:36:41.173: Dealer 1: Auto 88 (Body: 254, Motor: 293, Accessory: 174)
01:36:41.262: Dealer 2: Auto 89 (Body: 258, Motor: 295, Accessory: 194)
01:36:41.264: Dealer 2: Auto 89 (Body: 258, Motor: 295, Accessory: 194)
01:36:42.096: Dealer 3: Auto 90 (Body: 263, Motor: 297, Accessory: 197)
01:36:42.100: Dealer 3: Auto 90 (Body: 263, Motor: 297, Accessory: 197)
01:36:42.179: Dealer 1: Auto 91 (Body: 266, Motor: 299, Accessory: 200)
01:36:42.182: Dealer 1: Auto 91 (Body: 266, Motor: 299, Accessory: 200)
01:36:42.202: Dealer 3: Auto 92 (Body: 269, Motor: 301, Accessory: 216)
01:36:42.204: Dealer 3: Auto 92 (Body: 269, Motor: 301, Accessory: 216)
01:36:42.269: Dealer 2: Auto 93 (Body: 271, Motor: 303, Accessory: 219)
01:36:42.272: Dealer 2: Auto 93 (Body: 271, Motor: 303, Accessory: 219)
01:36:42.375: Dealer 2: Auto 96 (Body: 277, Motor: 312, Accessory: 241)
01:36:42.349: Dealer 3: Auto 95 (Body: 275, Motor: 309, Accessory: 239)
01:36:42.349: Dealer 1: Auto 94 (Body: 273, Motor: 305, Accessory: 222)
01:36:42.402: Dealer 1: Auto 94 (Body: 273, Motor: 305, Accessory: 222)
01:36:42.401: Dealer 3: Auto 95 (Body: 275, Motor: 309, Accessory: 239)
01:36:42.401: Dealer 2: Auto 96 (Body: 277, Motor: 312, Accessory: 241)
01:36:42.512: Dealer 3: Auto 99 (Body: 281, Motor: 318, Accessory: 264)
01:36:42.512: Dealer 2: Auto 97 (Body: 279, Motor: 314, Accessory: 245)
01:36:42.512: Dealer 1: Auto 98 (Body: 284, Motor: 316, Accessory: 261)
01:36:42.520: Dealer 2: Auto 97 (Body: 279, Motor: 314, Accessory: 245)
